step=12800, loss=0.001852, loss_cross=0.000393, loss_adv_spatial=0.000720, loss_adv_temporal=0.000739
step=12900, loss=0.001866, loss_cross=0.000395, loss_adv_spatial=0.000738, loss_adv_temporal=0.000733
step=13000, loss=0.001818, loss_cross=0.000378, loss_adv_spatial=0.000713, loss_adv_temporal=0.000727
step=13100, loss=0.001818, loss_cross=0.000393, loss_adv_spatial=0.000717, loss_adv_temporal=0.000708
step=13200, loss=0.001839, loss_cross=0.000371, loss_adv_spatial=0.000739, loss_adv_temporal=0.000730
step=13300, loss=0.001796, loss_cross=0.000370, loss_adv_spatial=0.000718, loss_adv_temporal=0.000708
step=13400, loss=0.001896, loss_cross=0.000429, loss_adv_spatial=0.000741, loss_adv_temporal=0.000726
step=13500, loss=0.001815, loss_cross=0.000381, loss_adv_spatial=0.000720, loss_adv_temporal=0.000714
step=13600, loss=0.001810, loss_cross=0.000381, loss_adv_spatial=0.000727, loss_adv_temporal=0.000702
step=13700, loss=0.001857, loss_cross=0.000389, loss_adv_spatial=0.000724, loss_adv_temporal=0.000744
step=13800, loss=0.001842, loss_cross=0.000385, loss_adv_spatial=0.000740, loss_adv_temporal=0.000716
step=13900, loss=0.001864, loss_cross=0.000427, loss_adv_spatial=0.000721, loss_adv_temporal=0.000717
step=14000, loss=0.001954, loss_cross=0.000486, loss_adv_spatial=0.000731, loss_adv_temporal=0.000737
step=14100, loss=0.001932, loss_cross=0.000473, loss_adv_spatial=0.000726, loss_adv_temporal=0.000733
step=14200, loss=0.001957, loss_cross=0.000518, loss_adv_spatial=0.000729, loss_adv_temporal=0.000710
step=14300, loss=0.001960, loss_cross=0.000483, loss_adv_spatial=0.000751, loss_adv_temporal=0.000726
step=14400, loss=0.001969, loss_cross=0.000444, loss_adv_spatial=0.000796, loss_adv_temporal=0.000730
step=14500, loss=0.002092, loss_cross=0.000554, loss_adv_spatial=0.000781, loss_adv_temporal=0.000757
step=14600, loss=0.001889, loss_cross=0.000437, loss_adv_spatial=0.000744, loss_adv_temporal=0.000707
step=14700, loss=0.001880, loss_cross=0.000420, loss_adv_spatial=0.000738, loss_adv_temporal=0.000721
step=14800, loss=0.001960, loss_cross=0.000527, loss_adv_spatial=0.000723, loss_adv_temporal=0.000710
step=14900, loss=0.001878, loss_cross=0.000435, loss_adv_spatial=0.000731, loss_adv_temporal=0.000712
step=15000, loss=0.001927, loss_cross=0.000454, loss_adv_spatial=0.000744, loss_adv_temporal=0.000729
step=15100, loss=0.002037, loss_cross=0.000566, loss_adv_spatial=0.000758, loss_adv_temporal=0.000713
step=15200, loss=0.001952, loss_cross=0.000503, loss_adv_spatial=0.000729, loss_adv_temporal=0.000720
step=15300, loss=0.001976, loss_cross=0.000514, loss_adv_spatial=0.000740, loss_adv_temporal=0.000722
step=15400, loss=0.002005, loss_cross=0.000554, loss_adv_spatial=0.000733, loss_adv_temporal=0.000719
step=15500, loss=0.002011, loss_cross=0.000528, loss_adv_spatial=0.000753, loss_adv_temporal=0.000730
step=15600, loss=0.001857, loss_cross=0.000397, loss_adv_spatial=0.000744, loss_adv_temporal=0.000716
step=15700, loss=0.002032, loss_cross=0.000556, loss_adv_spatial=0.000755, loss_adv_temporal=0.000720
step=15800, loss=0.002056, loss_cross=0.000595, loss_adv_spatial=0.000734, loss_adv_temporal=0.000727
step=15900, loss=0.002056, loss_cross=0.000601, loss_adv_spatial=0.000736, loss_adv_temporal=0.000719
step=16000, loss=0.001962, loss_cross=0.000492, loss_adv_spatial=0.000744, loss_adv_temporal=0.000726
step=16100, loss=0.002091, loss_cross=0.000586, loss_adv_spatial=0.000765, loss_adv_temporal=0.000739
step=16200, loss=0.002019, loss_cross=0.000532, loss_adv_spatial=0.000766, loss_adv_temporal=0.000722
step=16300, loss=0.002070, loss_cross=0.000615, loss_adv_spatial=0.000739, loss_adv_temporal=0.000716
step=16400, loss=0.001948, loss_cross=0.000545, loss_adv_spatial=0.000705, loss_adv_temporal=0.000697
step=16500, loss=0.002090, loss_cross=0.000613, loss_adv_spatial=0.000743, loss_adv_temporal=0.000733
step=16600, loss=0.002092, loss_cross=0.000621, loss_adv_spatial=0.000751, loss_adv_temporal=0.000721
step=16700, loss=0.002067, loss_cross=0.000614, loss_adv_spatial=0.000742, loss_adv_temporal=0.000711
step=16800, loss=0.002081, loss_cross=0.000551, loss_adv_spatial=0.000799, loss_adv_temporal=0.000732
step=16900, loss=0.002074, loss_cross=0.000618, loss_adv_spatial=0.000748, loss_adv_temporal=0.000709
step=17000, loss=0.002004, loss_cross=0.000574, loss_adv_spatial=0.000732, loss_adv_temporal=0.000698
step=17100, loss=0.002028, loss_cross=0.000574, loss_adv_spatial=0.000747, loss_adv_temporal=0.000707
step=17200, loss=0.002187, loss_cross=0.000693, loss_adv_spatial=0.000775, loss_adv_temporal=0.000719
step=17300, loss=0.002124, loss_cross=0.000652, loss_adv_spatial=0.000744, loss_adv_temporal=0.000728
step=17400, loss=0.002208, loss_cross=0.000723, loss_adv_spatial=0.000756, loss_adv_temporal=0.000729
step=17500, loss=0.002150, loss_cross=0.000691, loss_adv_spatial=0.000734, loss_adv_temporal=0.000724
step=17600, loss=0.002003, loss_cross=0.000583, loss_adv_spatial=0.000726, loss_adv_temporal=0.000694
step=17700, loss=0.002048, loss_cross=0.000601, loss_adv_spatial=0.000737, loss_adv_temporal=0.000710
step=17800, loss=0.002184, loss_cross=0.000733, loss_adv_spatial=0.000744, loss_adv_temporal=0.000707
step=17900, loss=0.002304, loss_cross=0.000783, loss_adv_spatial=0.000817, loss_adv_temporal=0.000704
step=18000, loss=0.001990, loss_cross=0.000547, loss_adv_spatial=0.000737, loss_adv_temporal=0.000706
step=18100, loss=0.002227, loss_cross=0.000763, loss_adv_spatial=0.000745, loss_adv_temporal=0.000719
step=18200, loss=0.002179, loss_cross=0.000694, loss_adv_spatial=0.000756, loss_adv_temporal=0.000730
step=18300, loss=0.002249, loss_cross=0.000752, loss_adv_spatial=0.000764, loss_adv_temporal=0.000733
step=18400, loss=0.002191, loss_cross=0.000743, loss_adv_spatial=0.000740, loss_adv_temporal=0.000708
step=18500, loss=0.002298, loss_cross=0.000766, loss_adv_spatial=0.000805, loss_adv_temporal=0.000727
step=18600, loss=0.002229, loss_cross=0.000729, loss_adv_spatial=0.000774, loss_adv_temporal=0.000727
step=18700, loss=0.002354, loss_cross=0.000896, loss_adv_spatial=0.000744, loss_adv_temporal=0.000714
step=18800, loss=0.002384, loss_cross=0.000914, loss_adv_spatial=0.000753, loss_adv_temporal=0.000717
step=18900, loss=0.002288, loss_cross=0.000820, loss_adv_spatial=0.000755, loss_adv_temporal=0.000714
step=19000, loss=0.002440, loss_cross=0.000939, loss_adv_spatial=0.000777, loss_adv_temporal=0.000724
step=19100, loss=0.002388, loss_cross=0.000915, loss_adv_spatial=0.000750, loss_adv_temporal=0.000723
step=19200, loss=0.002176, loss_cross=0.000738, loss_adv_spatial=0.000727, loss_adv_temporal=0.000711
step=19300, loss=0.002402, loss_cross=0.000936, loss_adv_spatial=0.000750, loss_adv_temporal=0.000716
step=19400, loss=0.002294, loss_cross=0.000808, loss_adv_spatial=0.000770, loss_adv_temporal=0.000716
step=19500, loss=0.002410, loss_cross=0.000922, loss_adv_spatial=0.000767, loss_adv_temporal=0.000721
step=19600, loss=0.002163, loss_cross=0.000752, loss_adv_spatial=0.000719, loss_adv_temporal=0.000692
step=19700, loss=0.002360, loss_cross=0.000872, loss_adv_spatial=0.000779, loss_adv_temporal=0.000710
step=19800, loss=0.002405, loss_cross=0.000953, loss_adv_spatial=0.000742, loss_adv_temporal=0.000710
step=19900, loss=0.002370, loss_cross=0.000905, loss_adv_spatial=0.000746, loss_adv_temporal=0.000719
step=20000, loss=0.002557, loss_cross=0.001080, loss_adv_spatial=0.000768, loss_adv_temporal=0.000709
step=20100, loss=0.002249, loss_cross=0.000801, loss_adv_spatial=0.000751, loss_adv_temporal=0.000697
step=20200, loss=0.002366, loss_cross=0.000909, loss_adv_spatial=0.000734, loss_adv_temporal=0.000723
step=20300, loss=0.002388, loss_cross=0.000907, loss_adv_spatial=0.000754, loss_adv_temporal=0.000727
step=20400, loss=0.002419, loss_cross=0.000896, loss_adv_spatial=0.000773, loss_adv_temporal=0.000750
step=20500, loss=0.002370, loss_cross=0.000864, loss_adv_spatial=0.000772, loss_adv_temporal=0.000733
step=20600, loss=0.002393, loss_cross=0.000944, loss_adv_spatial=0.000742, loss_adv_temporal=0.000707
step=20700, loss=0.002524, loss_cross=0.001033, loss_adv_spatial=0.000759, loss_adv_temporal=0.000733
step=20800, loss=0.002478, loss_cross=0.000993, loss_adv_spatial=0.000763, loss_adv_temporal=0.000722
step=20900, loss=0.002335, loss_cross=0.000833, loss_adv_spatial=0.000773, loss_adv_temporal=0.000729
step=21000, loss=0.002692, loss_cross=0.001198, loss_adv_spatial=0.000780, loss_adv_temporal=0.000714
step=21100, loss=0.002593, loss_cross=0.001125, loss_adv_spatial=0.000739, loss_adv_temporal=0.000730
step=21200, loss=0.002570, loss_cross=0.001103, loss_adv_spatial=0.000753, loss_adv_temporal=0.000714
step=21300, loss=0.002682, loss_cross=0.001174, loss_adv_spatial=0.000775, loss_adv_temporal=0.000733
step=21400, loss=0.002329, loss_cross=0.000846, loss_adv_spatial=0.000764, loss_adv_temporal=0.000720
step=21500, loss=0.002571, loss_cross=0.001086, loss_adv_spatial=0.000768, loss_adv_temporal=0.000717
step=21600, loss=0.002528, loss_cross=0.001097, loss_adv_spatial=0.000732, loss_adv_temporal=0.000699
step=21700, loss=0.002450, loss_cross=0.001018, loss_adv_spatial=0.000735, loss_adv_temporal=0.000696
step=21800, loss=0.002419, loss_cross=0.000982, loss_adv_spatial=0.000735, loss_adv_temporal=0.000702
step=21900, loss=0.002440, loss_cross=0.001009, loss_adv_spatial=0.000734, loss_adv_temporal=0.000697
step=22000, loss=0.002531, loss_cross=0.001094, loss_adv_spatial=0.000738, loss_adv_temporal=0.000699
step=22100, loss=0.002419, loss_cross=0.000982, loss_adv_spatial=0.000729, loss_adv_temporal=0.000708
step=22200, loss=0.002509, loss_cross=0.001041, loss_adv_spatial=0.000757, loss_adv_temporal=0.000711
step=22300, loss=0.002830, loss_cross=0.001366, loss_adv_spatial=0.000750, loss_adv_temporal=0.000714
step=22400, loss=0.002809, loss_cross=0.001274, loss_adv_spatial=0.000793, loss_adv_temporal=0.000742
step=22500, loss=0.003033, loss_cross=0.001468, loss_adv_spatial=0.000798, loss_adv_temporal=0.000767
step=22600, loss=0.002647, loss_cross=0.001180, loss_adv_spatial=0.000746, loss_adv_temporal=0.000722
step=22700, loss=0.002485, loss_cross=0.001022, loss_adv_spatial=0.000757, loss_adv_temporal=0.000705
step=22800, loss=0.002641, loss_cross=0.001148, loss_adv_spatial=0.000781, loss_adv_temporal=0.000712
step=22900, loss=0.002563, loss_cross=0.001094, loss_adv_spatial=0.000751, loss_adv_temporal=0.000717
step=23000, loss=0.002792, loss_cross=0.001298, loss_adv_spatial=0.000786, loss_adv_temporal=0.000708
step=23100, loss=0.002673, loss_cross=0.001229, loss_adv_spatial=0.000729, loss_adv_temporal=0.000715
step=23200, loss=0.002633, loss_cross=0.001160, loss_adv_spatial=0.000759, loss_adv_temporal=0.000713
step=23300, loss=0.002586, loss_cross=0.001119, loss_adv_spatial=0.000747, loss_adv_temporal=0.000720
step=23400, loss=0.002556, loss_cross=0.001102, loss_adv_spatial=0.000733, loss_adv_temporal=0.000720
step=23500, loss=0.002904, loss_cross=0.001445, loss_adv_spatial=0.000753, loss_adv_temporal=0.000706
step=23600, loss=0.002642, loss_cross=0.001185, loss_adv_spatial=0.000753, loss_adv_temporal=0.000704
step=23700, loss=0.003060, loss_cross=0.001539, loss_adv_spatial=0.000772, loss_adv_temporal=0.000749
step=23800, loss=0.002913, loss_cross=0.001419, loss_adv_spatial=0.000766, loss_adv_temporal=0.000728
step=23900, loss=0.002956, loss_cross=0.001454, loss_adv_spatial=0.000777, loss_adv_temporal=0.000725
step=24000, loss=0.002877, loss_cross=0.001371, loss_adv_spatial=0.000736, loss_adv_temporal=0.000770
step=24100, loss=0.002730, loss_cross=0.001286, loss_adv_spatial=0.000734, loss_adv_temporal=0.000710
step=24200, loss=0.002982, loss_cross=0.001529, loss_adv_spatial=0.000737, loss_adv_temporal=0.000717
step=24300, loss=0.002723, loss_cross=0.001296, loss_adv_spatial=0.000725, loss_adv_temporal=0.000701
step=24400, loss=0.003207, loss_cross=0.001659, loss_adv_spatial=0.000821, loss_adv_temporal=0.000726
step=24500, loss=0.002979, loss_cross=0.001465, loss_adv_spatial=0.000787, loss_adv_temporal=0.000727
step=24600, loss=0.003052, loss_cross=0.001551, loss_adv_spatial=0.000768, loss_adv_temporal=0.000732
step=24700, loss=0.002962, loss_cross=0.001479, loss_adv_spatial=0.000763, loss_adv_temporal=0.000720
step=24800, loss=0.003210, loss_cross=0.001701, loss_adv_spatial=0.000790, loss_adv_temporal=0.000719
step=24900, loss=0.003235, loss_cross=0.001683, loss_adv_spatial=0.000787, loss_adv_temporal=0.000765
step=25000, loss=0.003007, loss_cross=0.001503, loss_adv_spatial=0.000767, loss_adv_temporal=0.000737
step=25100, loss=0.002750, loss_cross=0.001300, loss_adv_spatial=0.000737, loss_adv_temporal=0.000713
step=25200, loss=0.002740, loss_cross=0.001239, loss_adv_spatial=0.000798, loss_adv_temporal=0.000703
step=25300, loss=0.002877, loss_cross=0.001384, loss_adv_spatial=0.000780, loss_adv_temporal=0.000712
step=25400, loss=0.002952, loss_cross=0.001489, loss_adv_spatial=0.000756, loss_adv_temporal=0.000707
step=25500, loss=0.003018, loss_cross=0.001591, loss_adv_spatial=0.000723, loss_adv_temporal=0.000703
step=25600, loss=0.003127, loss_cross=0.001591, loss_adv_spatial=0.000791, loss_adv_temporal=0.000745
step=25700, loss=0.002871, loss_cross=0.001417, loss_adv_spatial=0.000749, loss_adv_temporal=0.000704
step=25800, loss=0.003143, loss_cross=0.001671, loss_adv_spatial=0.000763, loss_adv_temporal=0.000709
step=25900, loss=0.003080, loss_cross=0.001548, loss_adv_spatial=0.000816, loss_adv_temporal=0.000716
